"","X","ï..FIPS","State","County","PCT_LACCESS_POP15","GROCPTH14","SNAPSPTH16","FFRPTH14","FSRPTH14","PCT_SNAP16","METRO13","MEDHHINC15","POVRATE15","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS13","X2010.Census.Population","POV_QUARTILE"
"152",169,5115,"AR","Pope",13.59373527,0.110757741,0.618019515,0.822771792,0.537966171,13.64746166,0,41074,20.8,11.2,32.1,61754,1
"153",1290,26117,"MI","Montcalm",7.532787139,0.159000207,1.118186341,0.365700475,0.540600703,14.74092241,1,41728,17.9,11.2,34,63342,1
"154",2842,51043,"VA","Clarke",1.266701738,0.138667406,0.643523028,0.416002219,0.554669625,9.731570193,1,71789,8.4,10.7,26.8,14034,1
"155",423,13073,"GA","Columbia",17.73272443,0.129257416,0.546512942,0.517029665,0.596020308,16.41494763,1,75232,9.3,10.4,30.3,124053,1
"156",22,1043,"AL","Cullman",7.33809691,0.184526812,0.990247077,0.651994735,0.590485798,16.97643575,0,39290,19.4,14.4,33.4,80406,2
"157",2617,48187,"TX","Guadalupe",34.12163723,0.0611205,0.548524566,0.482173175,0.373514431,13.51433657,1,64252,10.3,10,30.9,131533,2
"158",102,4011,"AZ","Greenlee",69.87743095,0.213995292,1.031589167,0.213995292,0.748983522,13.52769291,0,58854,10.1,10.7,34.7,8437,2
"159",1325,27021,"MN","Cass",11.87783164,0.350152316,0.965750354,0.350152316,1.29556357,8.677720386,0,47645,15,10.2,26.5,28567,2
"160",1126,22025,"LA","Catahoula",23.90575333,0.098512462,1.167557034,0.492562309,0.197024924,19.48120605,0,33958,27.2,11,35.3,10407,2
"161",1613,30029,"MT","Flathead",10.41168048,0.168555897,0.694996703,0.716362564,1.148287051,11.29944749,0,48063,14,7.1,23.1,90928,2
"162",2753,48459,"TX","Upshur",11.84758936,0.099122764,0.532923267,0.446052436,0.297368291,13.51433657,1,45494,15.5,10.7,29.6,39309,2
"163",1131,22035,"LA","East Carroll",20.13311616,0.267129691,1.638930913,0.667824229,0.400694537,19.48120605,0,26325,43.5,16.3,42.1,7759,2
"164",2594,48141,"TX","El Paso",17.92631954,0.136774779,0.774041533,0.683873894,0.613086947,13.51433657,1,43101,20.3,9.5,28.4,800647,2
"165",687,17183,"IL","Vermilion",14.54329174,0.188139675,1.003913235,0.52679109,0.62713225,14.36481192,1,44705,18.4,12.7,35.4,81625,2
"166",580,16057,"ID","Latah",11.82019534,0.182239463,0.582542436,0.75499206,0.807060477,10.90800528,0,46360,19.6,6.4,24.3,37244,2
